Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",195.500000,-128.200000,0.000000,top
"C2","0.1 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",231.050000,-132.250000,180.000000,top
"C3","0.1 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",199.362500,-139.550000,180.000000,top
"C4","0.1 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",200.100000,-131.650000,180.000000,top
"C5","0.1 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",228.100000,-121.400000,180.000000,top
"C6","0.1 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",211.500000,-117.500000,-90.000000,top
"C7","0.1 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",216.600000,-117.500000,90.000000,top
"C8","0.1 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",220.700000,-148.131250,90.000000,top
"C9","0.1 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",215.250000,-146.600000,90.000000,top
"C10","0.1 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",207.700000,-147.700000,-90.000000,top
"C11","4.7 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",202.400000,-95.800000,180.000000,top
"C12","4.7 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",184.100000,-94.400000,0.000000,top
"C13","4.7 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",202.300000,-100.200000,180.000000,top
"C14","4.7 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",184.000000,-91.000000,0.000000,top
"C15","10 uF","CP_Radial_Tantal_D5.0mm_P2.50mm",204.305113,-91.700000,180.000000,top
"C19","0.1 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",260.100000,-109.400000,180.000000,top
"C20","0.47 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",182.600000,-120.400000,-90.000000,top
"C21","0.01 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",167.200000,-109.400000,-90.000000,top
"C22","0.1 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",172.400000,-109.400000,90.000000,top
"C23","0.1 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",174.500000,-109.400000,90.000000,top
"C24","0.1 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",186.900000,-123.900000,90.000000,top
"C25","100 uF","PCAP_8x10-ELECT_NCA-M",181.000000,-130.695300,-90.000000,top
"C26","0.47 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",246.300000,-131.562500,90.000000,top
"C27","0.1 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",174.150000,-129.670000,90.000000,top
"C28","0.1 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",257.050000,-121.925000,-90.000000,top
"C29","0.01 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",263.200000,-141.900000,90.000000,top
"C30","0.1 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",258.231250,-141.800000,90.000000,top
"C31","0.1 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",256.131250,-141.800000,-90.000000,top
"C32","0.1 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",243.100000,-126.300000,-90.000000,top
"C33","100 uF","PCAP_8x10-ELECT_NCA-M",249.400000,-121.345600,90.000000,top
"C35","0.1 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",247.800000,-154.800000,90.000000,top
"C36","0.1 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",208.900000,-152.962500,-90.000000,top
"D1","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",205.200000,-84.500000,-90.000000,top
"D2","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",211.900000,-164.375000,90.000000,top
"D3","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",208.400000,-164.375000,90.000000,top
"D4","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",218.900000,-164.375000,90.000000,top
"D5","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",215.400000,-164.375000,90.000000,top
"D6","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",225.800000,-164.375000,90.000000,top
"D7","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",222.300000,-164.375000,90.000000,top
"D8","Status_LED","CONN3_22232031_MOL",211.990000,-106.376200,180.000000,top
"D9","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",264.400000,-102.000000,90.000000,top
"D10","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",264.400000,-108.500000,-90.000000,top
"F1","5A Fuse","FUSE_4628",239.600000,-109.400000,0.000000,top
"J1","SNAP Program","PinSocket_1x06_P2.54mm_Horizontal",167.850000,-140.300000,0.000000,top
